澶路0绉诲姩,#genre#
CCTV-5,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://111.59.63.32:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://111.59.63.32:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://111.59.63.32:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://111.59.63.32:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://111.59.63.32:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://111.59.63.32:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://111.59.63.32:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?

澶路鑱旈€�,#genre#
CCTV-1,http://221.0.78.198:1681/hls/10201/index.m3u8
CCTV-2,http://221.0.78.198:1681/hls/10202/index.m3u8
CCTV-3,http://221.0.78.198:1681/hls/10203/index.m3u8
CCTV-4,http://221.0.78.198:1681/hls/10204/index.m3u8
CCTV-5,http://221.0.78.198:1681/hls/10205/index.m3u8
CCTV-5+,http://221.0.78.198:1681/hls/10217/index.m3u8
CCTV-6,http://221.0.78.198:1681/hls/10206/index.m3u8
CCTV-7,http://221.0.78.198:1681/hls/10207/index.m3u8
CCTV-8,http://221.0.78.198:1681/hls/10208/index.m3u8
CCTV-9,http://221.0.78.198:1681/hls/10209/index.m3u8
CCTV-10,http://221.0.78.198:1681/hls/10210/index.m3u8
CCTV-11,http://221.0.78.198:1681/hls/10211/index.m3u8
CCTV-12,http://221.0.78.198:1681/hls/10212/index.m3u8
CCTV-13,http://221.0.78.198:1681/hls/10213/index.m3u8
CCTV-14,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV-15,http://221.0.78.198:1681/hls/10215/index.m3u8
CCTV-17,http://221.0.78.198:1681/hls/10289/index.m3u8
CGTN,http://221.0.78.198:1681/hls/10216/index.m3u8


CGTN Arabic,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN Espa帽ol,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN France,http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN 袪褍褋褋泻懈泄,http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN闃挎媺浼,http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN淇勮,https://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN娉曡,https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
CGTN娉曡,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8?zshijd
CGTN绾綍,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8?zshijd
CGTN缇庡浗,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN瑗胯,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN瑗胯,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN瑗胯,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8?zshijd

澶路涓撶嚎,#genre#
CCTV1,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV2,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV3,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV5,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5+,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV6,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV7,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV8,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV9,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV11,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV13,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV14,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV15,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV16,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV17,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV4k,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000266303.m3u8


澶路鏁板瓧,#genre#
CHC瀹跺涵褰遍櫌,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC楂樻竻鐢靛奖,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CCTV鐢佃鎸囧崡,http://111.20.40.160/PLTV/88888893/224/3221226987/index.m3u8
CCTV鐢佃鎸囧崡,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8
CCTV鐢佃鎸囧崡,http://111.20.40.163/PLTV/88888893/224/3221226987/index.m3u8
CCTV鐢佃鎸囧崡,http://111.20.40.173/PLTV/88888893/224/3221226987/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.160/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.162/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.163/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.164/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.165/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.170/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.171/PLTV/88888893/224/3221226953/index.m3u8
CCTV椋庝簯闊充箰,http://111.20.40.173/PLTV/88888893/224/3221226953/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.160/PLTV/88888893/224/3221226959/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.162/PLTV/88888893/224/3221226959/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.163/PLTV/88888893/224/3221226959/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.170/PLTV/88888893/224/3221226959/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.171/PLTV/88888893/224/3221226959/index.m3u8
CCTV绗竴鍓у満,http://111.20.40.173/PLTV/88888893/224/3221226959/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.160/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.162/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.163/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.164/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.165/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.170/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.171/PLTV/88888893/224/3221226950/index.m3u8
CCTV椋庝簯鍓у満,http://111.20.40.173/PLTV/88888893/224/3221226950/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.160/PLTV/88888893/224/3221226972/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.162/PLTV/88888893/224/3221226972/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.163/PLTV/88888893/224/3221226972/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.170/PLTV/88888893/224/3221226972/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.171/PLTV/88888893/224/3221226972/index.m3u8
CCTV鎬€鏃у墽鍦�,http://111.20.40.173/PLTV/88888893/224/3221226972/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.160/PLTV/88888893/224/3221226947/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.162/PLTV/88888893/224/3221226947/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.163/PLTV/88888893/224/3221226947/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.170/PLTV/88888893/224/3221226947/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.171/PLTV/88888893/224/3221226947/index.m3u8
CCTV涓栫晫鍦扮悊,http://111.20.40.173/PLTV/88888893/224/3221226947/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.160/PLTV/88888893/224/3221226975/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.162/PLTV/88888893/224/3221226975/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.163/PLTV/88888893/224/3221226975/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.170/PLTV/88888893/224/3221226975/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.171/PLTV/88888893/224/3221226975/index.m3u8
CCTV鍏靛櫒绉戞妧,http://111.20.40.173/PLTV/88888893/224/3221226975/index.m3u8
CCTV涓ぎ鏂囧寲绮惧搧,http://111.20.40.160/PLTV/88888893/224/3221226981/index.m3u8
CCTV涓ぎ鏂囧寲绮惧搧,http://111.20.40.164/PLTV/88888893/224/3221226981/index.m3u8
CCTV涓ぎ鏂囧寲绮惧搧,http://111.20.40.165/PLTV/88888893/224/3221226981/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.160/PLTV/88888893/224/3221226969/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.162/PLTV/88888893/224/3221226969/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.163/PLTV/88888893/224/3221226969/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.170/PLTV/88888893/224/3221226969/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.171/PLTV/88888893/224/3221226969/index.m3u8
CCTV濂虫€ф椂灏�,http://111.20.40.173/PLTV/88888893/224/3221226969/index.m3u8
CCTV椋庝簯瓒崇悆,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8


EZTV1娆ф床鍗庢枃鐢佃鍙�,http://vvlive.eztv.vip:80/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
EZTV2娆ф床鍗庢枃鐢佃,http://vvlive.eztv.vip:80/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
EZTV6娆ф床鍗庢枃鐢佃 绂忓窞棰戦亾,http://vvlive.eztv.vip:80/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe






澶IPV6,#genre#
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb07]/wh7f454c46tw3252572940_-481357165/ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8?icpid=3&RTS=1668593752&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb0a_80&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3589111099_-1793408755/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8?icpid=3&RTS=1668594088&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f454c46tw3746132328_-1754088424/ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8?icpid=3&RTS=1668594245&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3772680253_-1555628407/ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8?icpid=3&RTS=1668594272&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw3847208563_882248521/ott.mobaibox.com/PLTV/3/224/3221228179/index.m3u8?icpid=3&RTS=1668594346&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3
CCTV5+,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw511320337_-364940709/ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8?icpid=3&RTS=1668595305&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb13]/wh7f454c46tw3940641123_459833286/ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8?icpid=3&RTS=1668594440&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV7,http://[2409:8087:2001:20:2800:0:df6e:eb26]/wh7f454c46tw3984282630_1427246842/ott.mobaibox.com/PLTV/3/224/3221228283/index.m3u8?icpid=3&RTS=1668594483&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
CCTV8,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw4086984004_1136880123/ott.mobaibox.com/PLTV/3/224/3221227473/index.m3u8?icpid=3&RTS=1668594586&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV9,http://[2409:8087:2001:20:2800:0:df6e:eb21]/wh7f454c46tw4254168827_1850088835/ott.mobaibox.com/PLTV/3/224/3221228303/index.m3u8?icpid=3&RTS=1668594753&from=40&popid=40&hms_devid=2290&prioritypopid=40&vqe=3
CCTV10,http://[2409:8087:2001:20:2800:0:df6e:eb21]/wh7f454c46tw30319478_-185824076/ott.mobaibox.com/PLTV/3/224/3221228286/index.m3u8?icpid=3&RTS=1668594824&from=40&popid=40&hms_devid=2290&prioritypopid=40&vqe=3
CCTV11,http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw105619488_1866436632/ott.mobaibox.com/PLTV/3/224/3221228289/index.m3u8?icpid=3&RTS=1668594900&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV12,http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw185877003_-533945400/ott.mobaibox.com/PLTV/3/224/3221228401/index.m3u8?icpid=3&RTS=1668594980&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV13,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw259647455_-1559913959/ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8?icpid=3&RTS=1668595054&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
CCTV14,http://[2409:8087:2001:20:2800:0:df6e:eb22]/wh7f454c46tw340147088_1594094424/ott.mobaibox.com/PLTV/3/224/3221228292/index.m3u8?icpid=3&RTS=1668595134&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV15,http://[2409:8087:2001:20:2800:0:df6e:eb22]/wh7f454c46tw434828587_188325560/ott.mobaibox.com/PLTV/3/224/3221228404/index.m3u8?icpid=3&RTS=1668595229&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw456909575_2098882473/ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8?icpid=3&RTS=1668595251&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
CCTV17,http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw483903016_-67353299/ott.mobaibox.com/PLTV/3/224/3221228407/index.m3u8?icpid=3&RTS=1668595278&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV1,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
CCTV1,http://[2409:8087:4402:20:1:1216:401:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
CCTV1,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8
CCTV1,http://[2409:8087:4402:20:1:1216:401:31]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227031/index.m3u8
CCTV2,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226306/index.m3u8
CCTV2,http://[2409:8087:4402:20:1:1216:401:17]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8
CCTV2,http://[2409:8087:4402:20:1:1216:401:2f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:2f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8
CCTV4,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8
CCTV4,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8
CCTV4,http://[2409:8087:4400:20:1:70f:1011:1d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8
CCTV5,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8
CCTV5,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8
CCTV5,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226487/index.m3u8
CCTV5+,http://[2409:8087:4402:20:1:1216:401:12]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8
CCTV5+,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
CCTV6,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8
CCTV6,http://[2409:8087:4400:20:1:70f:1011:1a]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226485/index.m3u8
CCTV7,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8
CCTV7,http://[2409:8087:4400:20:1:70f:1011:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226486/index.m3u8
CCTV8,http://[2409:8087:4402:20:1:1216:401:41]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8
CCTV8,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8
CCTV9,http://[2409:8087:4402:20:1:1216:401:3a]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8
CCTV9,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226482/index.m3u8
CCTV10,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226483/index.m3u8
CCTV10,http://[2409:8087:4402:20:1:1216:401:39]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8
CCTV11,http://[2409:8087:4402:20:1:1216:401:44]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
CCTV11,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8
CCTV12,http://[2409:8087:4402:20:1:1216:401:17]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226479/index.m3u8
CCTV12,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
CCTV13,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
CCTV13,http://[2409:8087:4402:20:1:1216:401:38]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CCTV14,http://[2409:8087:4400:20:1:70f:1011:1d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226475/index.m3u8
CCTV15,http://[2409:8087:4402:20:1:1216:401:3d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226590/index.m3u8
